class,sc,omc_sc,cov_gap
com.thoughtworks.xstream.converters.extended.DurationConverter,85.71429,14.285715,71.42857
com.thoughtworks.xstream.converters.basic.DoubleConverter,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.CharArrayConverter,100.0,25.0,75.0
com.thoughtworks.xstream.io.xml.Xpp3DomDriver,66.66667,66.66667,0.0
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.ArrayConverter,100.0,93.333336,6.666664
com.thoughtworks.xstream.core.util.TypedNull,100.0,66.66667,33.33333
com.thoughtworks.xstream.converters.enums.EnumConverter,58.333332,8.333334,50.0
com.thoughtworks.xstream.converters.extended.JavaMethodConverter,95.83333,27.083334,68.74999
com.thoughtworks.xstream.converters.collections.MapConverter,96.42857,60.714287,35.714287
com.thoughtworks.xstream.XStreamer,61.702126,27.659575,34.04255
com.thoughtworks.xstream.core.util.Primitives,100.0,20.0,80.0
com.thoughtworks.xstream.security.NoTypePermission,66.66667,66.66667,0.0
com.thoughtworks.xstream.converters.extended.ISO8601DateConverter,100.0,60.000004,39.999996
com.thoughtworks.xstream.security.NullPermission,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache,87.09677,64.51613,22.580643
com.thoughtworks.xstream.io.xml.XppDriver,100.0,71.42857,28.571426
com.thoughtworks.xstream.converters.reflection.FieldUtil15,100.0,100.0,0.0
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,100.0,100.0,0.0
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,100.0,70.96774,29.032257
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider,56.666668,20.0,36.666668
com.thoughtworks.xstream.security.TypeHierarchyPermission,75.0,75.0,0.0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream,59.615387,42.307693,17.307693
com.thoughtworks.xstream.core.util.OrderRetainingMap,79.31035,65.51724,13.793106
com.thoughtworks.xstream.converters.enums.EnumMapConverter,92.85714,7.1428576,85.71428
com.thoughtworks.xstream.mapper.DynamicProxyMapper,81.818184,45.454548,36.363636
com.thoughtworks.xstream.io.xml.Dom4JReader,59.090908,13.636364,45.454544
com.thoughtworks.xstream.converters.basic.ByteConverter,80.0,40.0,40.0
com.thoughtworks.xstream.converters.collections.TreeSetConverter,70.68965,24.13793,46.55172
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper,66.66667,66.66667,0.0
com.thoughtworks.xstream.core.BaseException,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.XppDomReader,78.94737,31.578945,47.368427
com.thoughtworks.xstream.converters.collections.PropertiesConverter,100.0,34.375,65.625
com.thoughtworks.xstream.core.TreeMarshaller,83.78378,32.43243,51.351353
com.thoughtworks.xstream.core.TreeUnmarshaller,86.27451,70.588234,15.686279
com.thoughtworks.xstream.io.xml.DomWriter,85.71429,61.904762,23.809525
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller,100.0,16.666668,83.33333
com.thoughtworks.xstream.mapper.AnnotationMapper,82.624115,0.7092198,81.914894
com.thoughtworks.xstream.converters.extended.JavaFieldConverter,92.30769,3.846154,88.46154
com.thoughtworks.xstream.security.PrimitiveTypePermission,66.66667,33.333336,33.333336
com.thoughtworks.xstream.io.binary.BinaryStreamWriter,68.181816,45.454548,22.727268
com.thoughtworks.xstream.InitializationException,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.SubjectConverter,100.0,2.9411764,97.05882
com.thoughtworks.xstream.mapper.DefaultMapper,75.0,20.454546,54.545456
com.thoughtworks.xstream.core.util.PresortedMap,32.0,18.0,14.0
com.thoughtworks.xstream.converters.basic.StringConverter,100.0,84.61539,15.384613
com.thoughtworks.xstream.mapper.ImmutableTypesMapper,91.66667,8.333334,83.333336
com.thoughtworks.xstream.converters.collections.BitSetConverter,100.0,5.882353,94.117645
