method,sc,omc_sc,cov_gap
com.thoughtworks.xstream.io.xml.XppDomReader.getAttributeCount,100.0,100.0,0.0
com.thoughtworks.xstream.io.StatefulWriter.checkClosed,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.DomReader.getAttributeCount,100.0,100.0,0.0
com.thoughtworks.xstream.io.AbstractDriver.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.converters.basic.IntConverter.fromString,75.0,50.0,25.0
com.thoughtworks.xstream.core.util.ObjectIdDictionary.containsId,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.flush,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.iterator,100.0,100.0,0.0
com.thoughtworks.xstream.io.path.PathTracker.popElement,100.0,75.0,25.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttribute,100.0,100.0,0.0
com.thoughtworks.xstream.converters.reflection.ReflectionConverter.<init>,33.333336,33.333336,0.0
com.thoughtworks.xstream.io.path.PathTrackingWriter.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.ReferenceByIdMarshaller.<init>,100.0,66.66667,33.33333
com.thoughtworks.xstream.io.AbstractReader.decodeNode,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.pushCallback,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.AbstractPullReader.readRealEvent,100.0,37.5,62.5
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.createReference,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.ImmutableTypesMapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.io.ReaderWrapper.getValue,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.fieldIsEqual,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.endNode,100.0,53.846157,46.153843
com.thoughtworks.xstream.XStream.createObjectOutputStream,66.66667,66.66667,0.0
com.thoughtworks.xstream.io.binary.BinaryStreamReader.put,100.0,100.0,0.0
com.thoughtworks.xstream.core.JVM.canCreateDerivedObjectOutputStream,100.0,100.0,0.0
com.thoughtworks.xstream.XStreamer.fromXML,50.0,31.25,18.75
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeInt,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.format,100.0,75.0,25.0
com.thoughtworks.xstream.security.NoPermission.allows,100.0,100.0,0.0
