method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.converters.propertyWriteable,2,0,2
com.thoughtworks.xstream.mapper.CGLIBMapper.serializedClass,5,0,5
com.thoughtworks.xstream.io.xml.Dom4JDriver.close,1,2,3
com.thoughtworks.xstream.io.xml.XppReader.getAttributeCount,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeDouble,1,0,1
com.thoughtworks.xstream.io.binary.Token.StartNode,0,3,3
com.thoughtworks.xstream.converters.extended.SubjectConverter.populateSet,0,7,7
com.thoughtworks.xstream.converters.collections.BitSetConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter.readResolve,0,2,2
com.thoughtworks.xstream.io.binary.Token.equals,4,6,10
com.thoughtworks.xstream.mapper.DefaultMapper.aliasForSystemAttribute,0,1,1
com.thoughtworks.xstream.core.ReferencingMarshallingContext.null,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap.lastKey,1,0,1
com.thoughtworks.xstream.security.ProxyTypePermission.hashCode,1,0,1
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.createCollection,5,4,9
com.thoughtworks.xstream.XStream.writeToStream,0,1,1
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper.readResolve,2,3,5
com.thoughtworks.xstream.core.util.Base64JAXBCodec.decode,0,1,1
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter.buildAttributeMap,9,14,23
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.getFieldOrNull,0,1,1
com.thoughtworks.xstream.mapper.AnnotationMapper.defaultImplementationOf,0,6,6
com.thoughtworks.xstream.mapper.ElementIgnoringMapper.addElementsToIgnore,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readUnsignedByte,0,1,1
com.thoughtworks.xstream.io.xml.XomDriver.createWriter,2,0,2
com.thoughtworks.xstream.io.xml.JDomReader.getChildCount,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.skip,1,0,1
com.thoughtworks.xstream.io.binary.Token.hashCode,5,0,5
com.thoughtworks.xstream.security.ExplicitTypePermission.allows,0,3,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.toString,0,1,1
com.thoughtworks.xstream.core.util.PresortedSet.comparator,0,1,1
com.thoughtworks.xstream.converters.extended.FontConverter.marshal,3,14,17
com.thoughtworks.xstream.io.xml.JDom2Writer.top,0,1,1
com.thoughtworks.xstream.io.xml.JDomWriter.<init>,6,5,11
com.thoughtworks.xstream.io.xml.DomWriter.addAttribute,0,1,1
com.thoughtworks.xstream.mapper.LocalConversionMapper.<init>,0,2,2
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.marshal,58,0,58
com.thoughtworks.xstream.mapper.ArrayMapper.realClass,0,13,13
com.thoughtworks.xstream.converters.collections.TreeSetConverter.marshal,0,3,3
com.thoughtworks.xstream.io.xml.XppDomReader.getParent,0,1,1
com.thoughtworks.xstream.core.JVM.getBase64Codec,0,1,1
com.thoughtworks.xstream.XStream.setupImmutableTypes,28,47,75
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realMember,0,1,1
com.thoughtworks.xstream.core.JVM.loadClass,2,0,2
com.thoughtworks.xstream.core.JVM.Test,1,0,1
com.thoughtworks.xstream.core.TreeUnmarshaller.keys,2,0,2
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper.<init>,0,1,1
com.thoughtworks.xstream.XStream.useXStream11XmlFriendlyMapper,0,1,1
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.isValid,0,1,1
com.thoughtworks.xstream.core.TreeUnmarshaller.get,0,2,2
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.<init>,0,1,1
com.thoughtworks.xstream.io.xml.StaxDriver.close,10,0,10
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.<init>,0,3,3
com.thoughtworks.xstream.converters.reflection.FieldKeySorter.null,0,0,0
com.thoughtworks.xstream.XStream.registerConverter,0,7,7
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.FieldLocation,0,2,2
com.thoughtworks.xstream.converters.basic.LongConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper.createEnumMapper,1,3,4
com.thoughtworks.xstream.io.xml.DomDriver.createWriter,3,1,4
com.thoughtworks.xstream.io.AbstractWriter.<init>,1,1,2
com.thoughtworks.xstream.persistence.XmlSet.size,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeUTF,0,1,1
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper.<init>,0,1,1
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realClass,0,1,1
com.thoughtworks.xstream.io.ReaderWrapper.underlyingReader,0,1,1
com.thoughtworks.xstream.converters.collections.SingletonMapConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.SerializationMembers.callWriteObject,4,5,9
com.thoughtworks.xstream.converters.reflection.SerializableConverter.marshalUnserializableParent,0,3,3
com.thoughtworks.xstream.core.util.PrioritizedList.remove,1,0,1
com.thoughtworks.xstream.mapper.FieldAliasingMapper.serializedMember,0,4,4
com.thoughtworks.xstream.mapper.AttributeMapper.setConverterLookup,1,0,1
com.thoughtworks.xstream.converters.get,5,0,5
com.thoughtworks.xstream.converters.extended.DurationConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.time.InstantConverter.canConvert,1,0,1
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.readResolve,0,3,3
com.thoughtworks.xstream.converters.reflection.SerializableConverter.defaultWriteObject,2,29,31
com.thoughtworks.xstream.io.naming.NameCoderWrapper.encodeNode,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.put,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.getKeyedByFieldKey,0,1,1
com.thoughtworks.xstream.io.ReaderWrapper.appendErrors,0,1,1
com.thoughtworks.xstream.io.xml.XomReader.getNodeName,0,1,1
com.thoughtworks.xstream.converters.extended.ThrowableConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.enums.EnumToStringConverter.<init>,0,5,5
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.flushCache,1,0,1
com.thoughtworks.xstream.core.DefaultConverterLookup.lookupConverterForType,10,12,22
com.thoughtworks.xstream.core.util.WeakCache.entrySet,0,3,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.path.PathTrackingWriter.endNode,0,2,2
com.thoughtworks.xstream.core.util.Base64JavaUtilCodec.encode,1,0,1
com.thoughtworks.xstream.converters.extended.LocaleConverter.underscorePositions,0,5,5
com.thoughtworks.xstream.io.xml.XomDriver.createBuilder,0,2,2
com.thoughtworks.xstream.io.xml.XppDomReader.getChild,0,1,1
com.thoughtworks.xstream.mapper.AnnotationMapper.processConverterAnnotations,1,11,12
com.thoughtworks.xstream.converters.collections.TreeMapConverter.<init>,0,1,1
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.parse,0,4,4
com.thoughtworks.xstream.converters.extended.SubjectConverter.unmarshal,0,5,5
com.thoughtworks.xstream.io.xml.XomDriver.createReader,21,3,24
com.thoughtworks.xstream.annotations.AnnotationReflectionConverter.unmarshallField,0,6,6
com.thoughtworks.xstream.converters.time.ZonedDateTimeConverter.<clinit>, line 33,1,0,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.getKeyedByFieldName,0,1,1
com.thoughtworks.xstream.io.xml.SaxWriter.setErrorHandler,1,3,4
com.thoughtworks.xstream.io.xml.XomWriter.<init>,1,3,4
com.thoughtworks.xstream.converters.extended.FontConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CompositeClassLoader.addAll,0,4,4
com.thoughtworks.xstream.io.naming.StaticNameCoder.invertMap,5,0,5
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.flush,0,0,0
com.thoughtworks.xstream.XStream.ignoreUnknownElements,1,4,5
com.thoughtworks.xstream.security.RegExpTypePermission.getPatterns,1,5,6
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.convert,0,14,14
com.thoughtworks.xstream.converters.extended.SubjectConverter.<init>,0,1,1
com.thoughtworks.xstream.converters.collections.PropertiesConverter.unmarshal,0,15,15
com.thoughtworks.xstream.converters.time.JapaneseEraConverter.canConvert,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.getItem,0,1,1
com.thoughtworks.xstream.io.path.Path.apply,0,13,13
com.thoughtworks.xstream.core.util.Primitives.<clinit>, line 28,0,9,9
com.thoughtworks.xstream.core.util.PrioritizedList.iterator,0,1,1
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter.<init>,0,2,2
com.thoughtworks.xstream.io.xml.SaxWriter.close,0,0,0
com.thoughtworks.xstream.security.ExplicitTypePermission.getNames,1,5,6
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeItem,0,6,6
com.thoughtworks.xstream.converters.time.LocalTimeConverter.fromString,5,0,5
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.newInstance,0,1,1
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.create,4,0,4
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter.fromString,3,10,13
com.thoughtworks.xstream.core.ClassLoaderReference.getReference,0,1,1
com.thoughtworks.xstream.core.TreeMarshaller.get,0,2,2
com.thoughtworks.xstream.io.xml.AbstractPullReader.getNodeName,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.reset,1,0,1
com.thoughtworks.xstream.security.RegExpTypePermission.<init>,0,2,2
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readInt,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldKey.getOrder,0,1,1
com.thoughtworks.xstream.converters.collections.CharArrayConverter.marshal,0,2,2
com.thoughtworks.xstream.converters.basic.URIConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.binary.Token.getId,0,1,1
com.thoughtworks.xstream.core.MapBackedDataHolder.get,0,1,1
com.thoughtworks.xstream.io.json.JettisonStaxWriter.endNode,0,8,8
com.thoughtworks.xstream.core.util.SerializationMembers.getRRMethod,0,12,12
com.thoughtworks.xstream.core.JVM.compare,9,36,45
com.thoughtworks.xstream.core.util.ClassLoaderReference.loadClass,1,0,1
com.thoughtworks.xstream.io.xml.TraxSource.configureXMLReader,0,7,7
com.thoughtworks.xstream.mapper.DynamicProxyMapper.getAlias,1,0,1
com.thoughtworks.xstream.converters.extended.FontConverter.unmarshal,4,21,25
com.thoughtworks.xstream.converters.time.ChronologyConverter.toString,1,0,1
com.thoughtworks.xstream.converters.extended.PathConverter.toString,7,0,7
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory.unknownSourceElement,0,1,1
com.thoughtworks.xstream.io.path.Path.<init>,0,12,12
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.read,2,1,3
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeLong,0,1,1
com.thoughtworks.xstream.converters.visitSerializableProperties,5,12,17
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.endNode,0,1,1
com.thoughtworks.xstream.XStream.allowTypes,0,2,2
com.thoughtworks.xstream.io.xml.Dom4JReader.getAttribute,0,2,2
com.thoughtworks.xstream.io.xml.AbstractXppDomDriver.<init>,0,1,1
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriter.null,0,0,0
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.getTopLevelNodes,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeBoolean,1,0,1
com.thoughtworks.xstream.io.binary.ReaderDepthState.getName,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readLine,1,0,1
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.close,0,1,1
