class,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.converters.extended.NamedMapConverter,3,108,111
com.thoughtworks.xstream.converters.reflection.ReflectionConverter,2,2,4
com.thoughtworks.xstream.converters.basic.LongConverter,4,20,24
com.thoughtworks.xstream.io.StreamException,1,2,3
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter,0,22,22
com.thoughtworks.xstream.converters.extended.ISO8601SqlTimestampConverter,0,19,19
com.thoughtworks.xstream.converters.extended.TextAttributeConverter,0,1,1
com.thoughtworks.xstream.converters.reflection.SortableFieldKeySorter,25,0,25
com.thoughtworks.xstream.converters.extended.CharsetConverter,0,3,3
com.thoughtworks.xstream.io.xml.JDomReader,7,13,20
com.thoughtworks.xstream.io.xml.StaxDriver,34,25,59
com.thoughtworks.xstream.io.path.Path,4,81,85
com.thoughtworks.xstream.converters.time.InstantConverter,6,0,6
com.thoughtworks.xstream.core.util.Types,1,0,1
com.thoughtworks.xstream.io.xml.AbstractXmlReader,3,2,5
com.thoughtworks.xstream.converters.reflection.ImmutableFieldKeySorter,0,1,1
com.thoughtworks.xstream.converters.enums.EnumSetConverter,1,27,28
com.thoughtworks.xstream.mapper.XmlFriendlyMapper,4,3,7
com.thoughtworks.xstream.core.util.HierarchicalStreams,0,13,13
com.thoughtworks.xstream.io.binary.BinaryStreamDriver,4,0,4
com.thoughtworks.xstream.persistence.FilePersistenceStrategy,9,38,47
com.thoughtworks.xstream.converters.collections.SingletonCollectionConverter,0,4,4
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper,10,24,34
com.thoughtworks.xstream.converters.time.LocalTimeConverter,11,0,11
com.thoughtworks.xstream.security.RegExpTypePermission,1,13,14
com.thoughtworks.xstream.io.copy.HierarchicalStreamCopier,0,12,12
com.thoughtworks.xstream.io.xml.AbstractXppDomDriver,7,6,13
com.thoughtworks.xstream.converters.time.DurationConverter,6,0,6
com.thoughtworks.xstream.annotations.XStreamConverters,0,0,0
com.thoughtworks.xstream.core.util.Fields,14,19,33
com.thoughtworks.xstream.io.xml.AbstractXppDriver,4,6,10
com.thoughtworks.xstream.annotations.XStreamConverter,0,0,0
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat,1,20,21
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller,0,6,6
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter,17,43,60
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter,5,24,29
com.thoughtworks.xstream.io.naming.NoNameCoder,1,3,4
com.thoughtworks.xstream.io.binary.Token,16,103,119
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper,6,116,122
com.thoughtworks.xstream.converters.time.PeriodConverter,6,0,6
com.thoughtworks.xstream.converters.DataHolder,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream,31,38,69
com.thoughtworks.xstream.core.StringCodec,0,0,0
com.thoughtworks.xstream.core.TreeMarshallingStrategy,0,2,2
com.thoughtworks.xstream.persistence.XmlArrayList,5,20,25
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter,0,5,5
com.thoughtworks.xstream.core.Caching,0,0,0
com.thoughtworks.xstream.core.util.QuickWriter,4,39,43
com.thoughtworks.xstream.converters.extended.DynamicProxyConverter,5,42,47
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory15,0,1,1
com.thoughtworks.xstream.mapper.ArrayMapper,0,39,39
com.thoughtworks.xstream.converters.basic.NullConverter,2,2,4
com.thoughtworks.xstream.core.util.ClassLoaderReference,6,0,6
com.thoughtworks.xstream.core.ReferenceByIdUnmarshaller,0,4,4
com.thoughtworks.xstream.io.xml.XmlFriendlyReplacer,2,2,4
com.thoughtworks.xstream.converters.basic.FloatConverter,0,2,2
com.thoughtworks.xstream.converters.extended.SqlDateConverter,0,2,2
com.thoughtworks.xstream.io.xml.AbstractPullReader,13,70,83
com.thoughtworks.xstream.converters.extended.FontConverter,9,39,48
com.thoughtworks.xstream.core.ClassLoaderReference,0,5,5
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter,1,12,13
com.thoughtworks.xstream.converters.collections.TreeMapConverter,10,39,49
com.thoughtworks.xstream.persistence.FileStreamStrategy,0,33,33
com.thoughtworks.xstream.io.xml.QNameMap,2,19,21
com.thoughtworks.xstream.converters.time.MonthDayConverter,6,0,6
com.thoughtworks.xstream.core.util.ISO8601JodaTimeConverter,4,18,22
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriter,0,0,0
com.thoughtworks.xstream.io.xml.DocumentReader,0,0,0
com.thoughtworks.xstream.converters,54,129,183
com.thoughtworks.xstream.annotations.XStreamAlias,0,0,0
com.thoughtworks.xstream.core.util.PresortedSet,20,7,27
com.thoughtworks.xstream.core.ReferenceByXPathMarshallingStrategy,0,3,3
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper,1,24,25
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader,21,75,96
com.thoughtworks.xstream.converters.reflection.SunUnsafeReflectionProvider,11,33,44
com.thoughtworks.xstream.mapper.PackageAliasingMapper,2,35,37
com.thoughtworks.xstream.io.xml.JDom2Reader,5,13,18
com.thoughtworks.xstream.converters.reflection.ReflectionProvider,0,0,0
com.thoughtworks.xstream.security.CGLIBProxyTypePermission,3,0,3
com.thoughtworks.xstream.converters.reflection.FieldKeySorter,0,0,0
com.thoughtworks.xstream.io.xml.Dom4JWriter,6,12,18
com.thoughtworks.xstream.mapper.LocalConversionMapper,0,15,15
com.thoughtworks.xstream.converters.time.ThaiBuddhistDateConverter,4,0,4
com.thoughtworks.xstream.converters.collections.SingletonMapConverter,0,7,7
com.thoughtworks.xstream.io.xml.XomWriter,1,11,12
com.thoughtworks.xstream.io.AttributeNameIterator,1,4,5
com.thoughtworks.xstream.io.xml.xppdom.XppDom,16,60,76
com.thoughtworks.xstream.annotations.XStreamInclude,0,0,0
com.thoughtworks.xstream.io.HierarchicalStreamDriver,0,0,0
com.thoughtworks.xstream.io.path.PathTrackingWriter,0,9,9
com.thoughtworks.xstream.core.util.Pool,1,23,24
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper,2,6,8
com.thoughtworks.xstream.converters.extended.ActivationDataFlavorConverter,7,36,43
com.thoughtworks.xstream.core.util.ArrayIterator,1,4,5
com.thoughtworks.xstream.io.xml.XStream11XmlFriendlyReplacer,2,1,3
com.thoughtworks.xstream.converters.ErrorWriter,0,0,0
com.thoughtworks.xstream.persistence.XmlSet,1,10,11
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper,1,3,4
com.thoughtworks.xstream.converters.basic.URLConverter,1,3,4
com.thoughtworks.xstream.io.xml.PrettyPrintWriter,6,112,118
com.thoughtworks.xstream.core.util.PrioritizedList,2,14,16
com.thoughtworks.xstream.io.path.PathTracker,1,49,50
com.thoughtworks.xstream.security.InterfaceTypePermission,1,2,3
com.thoughtworks.xstream.converters.reflection.NativeFieldKeySorter,9,0,9
com.thoughtworks.xstream.io.xml.DomDriver,15,23,38
com.thoughtworks.xstream.converters.collections.CollectionConverter,1,22,23
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter,32,299,331
com.thoughtworks.xstream.io.xml.KXml2DomDriver,3,0,3
com.thoughtworks.xstream.converters.basic.BooleanConverter,1,10,11
com.thoughtworks.xstream.io.xml.xppdom.Xpp3Dom,0,1,1
