class,sc,omc_sc,cov_gap
org.jaxen.expr.DefaultFilterExpr,45.945946,29.72973,16.216215
org.jaxen.XPathSyntaxException,100.0,50.0,50.0
org.jaxen.expr.iter.IterableParentAxis,100.0,50.0,50.0
org.jaxen.function.StringLengthFunction,94.73685,89.47369,5.2631607
org.jaxen.expr.DefaultXPathExpr,90.0,90.0,0.0
org.jaxen.function.SumFunction,100.0,45.454548,54.545452
org.jaxen.util.SelfAxisIterator,100.0,100.0,0.0
org.jaxen.function.NormalizeSpaceFunction,100.0,63.636364,36.363636
org.jaxen.Context,96.15385,84.61539,11.53846
org.jaxen.function.PositionFunction,100.0,50.0,50.0
org.jaxen.function.LangFunction,95.454544,40.909092,54.545452
org.jaxen.expr.iter.IterablePrecedingAxis,100.0,50.0,50.0
org.jaxen.expr.DefaultAbsoluteLocationPath,93.75,81.25,12.5
org.jaxen.QualifiedName,87.5,75.0,12.5
org.jaxen.expr.iter.IterableAttributeAxis,100.0,60.000004,39.999996
org.jaxen.expr.DefaultAllNodeStep,75.0,50.0,25.0
org.jaxen.expr.DefaultBinaryExpr,90.909096,90.909096,0.0
