method,obc(%),omc_obc(%),cov_gap(%)
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.enabledIn,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.<init>,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isCData,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleRepeatElement,90.0,70.0,20.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._serializeObjectId,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.serialize,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._collectUntilTag,75.0,56.25,18.75
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._initWithRootName,75.0,25.0,50.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter._qname,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.serializeValue,72.72727,40.909092,31.81818
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findRootName,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildObjectContext,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.addVirtualWrapping,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBinaryValue,25.0,12.5,12.5
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.startWrappedValue,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeFieldName,50.0,25.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue,39.285713,28.57143,10.714283
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.changeProperties,91.66667,50.0,41.66667
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.finishWrappedValue,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isAttribute,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.readResolve,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._rootNameFromConfig,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipAttributes,50.0,16.666668,33.333332
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.isMatching,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.repeatStartElement,75.0,50.0,25.0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._getByteArrayBuilder,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<init>,85.0,65.0,20.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setPrettyPrinter,50.0,50.0,0.0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchesWrapper,75.0,62.5,12.5
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isExpectedStartArrayToken,66.66667,66.66667,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,100.0,16.666668,83.33333
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeEndObject,83.33333,33.333336,49.999992
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.initGenerator,90.0,60.000004,29.999996
com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,100.0,50.0,50.0
com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,25.0,25.0,0.0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBinary,50.0,40.0,10.0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.serialize,75.0,75.0,0.0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeLeafElement,16.666668,16.666668,0.0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartElement,75.0,25.0,50.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForDeserialization,100.0,16.666668,83.33333
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature.enabledIn,100.0,100.0,0.0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findWrapperName,90.0,40.0,50.0
