method,missed_branch,covered_branch,total_branch
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.repeatStartElement,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._getByteArrayBuilder,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.isCachable,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.readValue,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setPrettyPrinter,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.findNamespace,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.toFullBuffer,10,0,10
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeRootValueSeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isExpectedStartArrayToken,2,4,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isClosed,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeEndObject,1,5,6
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeArrayValueSeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipEndElement,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextLength,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getCurrentLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._decodeBase64,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,3,1,4
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLInputFactory,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBinary,10,10,20
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule,0,2,2
com.fasterxml.jackson.dataformat.xml.XmlMapper.getFactory,0,0,0
