method,missed_stmt,covered_stmt,total_stmts
com.fasterxml.jackson.dataformat.xml.XmlFactory.disable,2,2,4
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<init>,10,37,47
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchesWrapper,1,4,5
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasFormat,0,1,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,0,7,7
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlWriter,1,3,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartArray,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.isOutputAsAttribute,5,0,5
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeObjectEntries,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.overrideFormatFeatures,2,0,2
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.initGenerator,1,12,13
com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,3,21,24
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRaw,10,6,16
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeUTF8String,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.serialize,2,6,8
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getNamespaceURI,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.copy,0,2,2
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeLeafElement,45,19,64
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._releaseBuffers,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getMask,0,1,1
com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,0,9,9
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writePrologLinefeed,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getValueAsString,10,17,27
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.modifySerializer,0,3,3
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._constructDefaultPrettyPrinter,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.<init>,6,2,8
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextToken,10,83,93
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setXMLTextElementName,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlFactory._decorate,6,4,10
com.fasterxml.jackson.dataformat.xml.util.StaxUtil._message,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentValue,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator,0,13,13
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeStartArray,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._serializeXmlNull,0,6,6
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.<init>,0,1,1
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsText,0,1,1
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup._findRootName,0,17,17
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsCData,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.decodeXmlClassName,0,8,8
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeArrayValues,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentName,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.serializeAsField,8,20,28
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getXmlReader,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.disable,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBigIntegerValue,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getCurrentName,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchingWrapper,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch,2,4,6
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation,1,9,10
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.collectDefaults,0,5,5
com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.createContextual,1,20,21
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.<clinit>, line 504,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getNumberType,1,0,1
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlText.null,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsCData,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer._verifyDeserType,1,2,3
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeProperty,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createRootContext,1,1,2
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.Lf2SpacesIndenter,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.disable,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.disable,3,0,3
com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatWriteFeatureType,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.deserialize,4,5,9
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.configure,4,0,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartObject,0,6,6
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isText,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.<init>,1,8,9
com.fasterxml.jackson.dataformat.xml.XmlMapper.writeValue,0,2,2
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeEndElement,1,5,6
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._initStartElement,0,17,17
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getStartLocation,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextOffset,0,1,1
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.isInline,2,1,3
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._wrapAsIOE,6,0,6
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.setDefaultUseWrapper,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getParsingContext,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeNull,2,8,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLInputFactory,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getDecimalValue,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.withIgnorals,1,0,1
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwAsParseException,0,2,2
com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLTextElementName,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.setFormatFeatures,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer._verifyDeserType,1,2,3
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.idFromValue,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._allWs,0,6,6
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeEndArray,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getParent,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.enabledIn,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeFieldsFiltered,17,26,43
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.toString,20,0,20
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat,18,32,50
com.fasterxml.jackson.dataformat.xml.annotation.JacksonXmlCData.null,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._verifyValueWrite,1,2,3
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsAttribute,0,1,1
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeObjectFieldValueSeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.setXMLTextElementName,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._next,2,37,39
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleEndElement,0,9,9
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.withFilterId,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.null,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.closeCompletely,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.close,5,11,16
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentName,3,5,8
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.setDefaultUseWrapper,4,0,4
com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar,1,3,4
com.fasterxml.jackson.dataformat.xml.util.StaxUtil._unwrap,3,4,7
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.checkNextIsUnwrapped,0,4,4
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlReader,1,4,5
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.hasCurrentName,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBoolean,5,9,14
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._handleEOF,3,0,3
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.close,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatName,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.JaxbWrapper,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.deserialize,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.getParent,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextCharacters,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeStringField,0,2,2
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.findNamespace,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleRepeatElement,1,19,20
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getStaxReader,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getCurrentToken,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.handleMissingName,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._startRootArray,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.enabledByDefault,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._releaseBuffers,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._reportUnimplementedStax2,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter._qname,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getNumberValue,1,0,1
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findRootName,0,11,11
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getIntValue,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.enabledIn,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getFloatValue,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.addVirtualWrapping,0,5,5
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.startWrappedValue,1,6,7
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.createInstance,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector.Pair,5,6,11
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.enable,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildArrayContext,6,0,6
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.reset,0,7,7
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.requiresCustomCodec,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRawUTF8String,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCodec,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.expectComma,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.changeProperties,0,20,20
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._updateState,16,0,16
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isAttribute,0,2,2
com.fasterxml.jackson.dataformat.xml.XmlMapper.configure,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.setCodec,1,0,1
com.fasterxml.jackson.dataformat.xml.XmlMapper.enable,2,2,4
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.readResolve,1,2,3
